## Thu Nov  4 09:44:55 2021 
model n s Ncalpt IC.clk IC.cor IC.rel rho
1 20 1000 5 51.11862 124.9822 127.3535 9.379037e-08
1 20 1000 5 48.97036 122.833 125.5955 3.703901e-09
1 20 1000 5 48.10341 121.9696 124.417 2.143391e-07
1 20 1000 5 51.39698 125.3412 127.6556 0.3385254
1 20 1000 5 52.97318 126.7874 128.8475 0.05282856
1 20 1000 5 44.71878 118.5952 120.892 8.079797e-08
1 20 1000 5 50.47025 124.3319 126.6157 0.006326533
1 20 1000 5 45.02701 118.9137 121.3886 0.000169654
1 20 1000 5 45.63599 119.5596 122.0466 4.806168e-06
1 20 1000 5 51.46117 125.2766 127.695 9.959017e-06
1 20 1000 5 47.6332 121.5216 123.8177 1.100935e-05
1 20 1000 5 45.69938 119.5675 121.7702 0.01653944
1 20 1000 5 48.77497 122.692 125.1899 0.1341928
1 20 1000 5 776.8977 313.1461 309.4266 4.82361e-05
1 20 1000 5 51.7404 125.6302 128.0107 5.643199e-08
1 20 1000 5 57.05333 130.5405 132.8936 5.788504e-06
1 20 1000 5 46.76853 120.7085 123.1923 0.001837816
1 20 1000 5 45.988 119.8679 122.183 6.105391e-07
1 20 1000 5 47.77479 121.6977 124.4601 0.9592394
1 20 1000 5 49.75227 123.6696 126.1566 0.006304909
2 20 1000 5 35.22864 109.0581 111.5911 0.4274275
2 20 1000 5 36.92162 110.8165 113.4076 1.907014e-08
2 20 1000 5 35.19825 109.0462 111.6597 4.351344e-09
2 20 1000 5 33.15957 107.1028 109.7737 0.00194736
2 20 1000 5 34.46214 108.3407 110.9771 0.0008121558
2 20 1000 5 56.95914 128.9785 131.2453 0.0004581396
2 20 1000 5 35.7431 109.6641 112.4721 0.01164165
2 20 1000 5 39.71395 113.2204 115.869 0.5600455
2 20 1000 5 101.2991 167.6977 168.6676 0.08209046
2 20 1000 5 57.00795 129.7717 132.2133 0.0004465674
2 20 1000 5 38.43566 112.2313 114.6523 0.001008139
2 20 1000 5 34.8852 108.8202 111.4083 0.03091404
2 20 1000 5 36.96453 110.7023 113.2851 0.02606188
2 20 1000 5 34.13602 108.0387 110.7219 5.487949e-09
2 20 1000 5 34.45483 108.3887 111.0043 0.0001468015
2 20 1000 5 47.50682 121.0915 123.4893 0.09703839
2 20 1000 5 41.37706 115.117 117.7787 0.0003640998
2 20 1000 5 65.81576 138.699 141.1927 1.259843e-08
2 20 1000 5 33.63487 107.5805 110.1841 7.618838e-05
2 20 1000 5 34.11155 108.0693 110.6647 1.839813e-13
2 20 1000 5 46.53872 119.986 122.3801 2.49948e-05
2 20 1000 5 36.68572 110.4684 113.0611 0.14282
2 20 1000 5 33.95585 107.8683 110.4639 2.547314e-05
2 20 1000 5 39.23656 113.1442 115.7398 0.0009102878
2 20 1000 5 50.80604 124.3563 126.8631 1.762813e-12
2 20 1000 5 38.14727 111.9482 114.5803 0.001298963
2 20 1000 5 33.43963 107.3849 110.0185 2.092233e-10
