## Sat Oct 30 14:10:38 2021 
model n s Ncalpt IC.clk IC.cor IC.rel rho
4 20 1000 1 408.902 194.3347 191.532 3.414784e-08
4 20 1000 1 182.2212 175.9757 175.6778 9.402377e-06
4 20 1000 1 369.0134 225.9978 223.0646 1.306075e-09
4 20 1000 1 268.8256 200.5636 200.293 1.570055e-09
4 20 1000 1 362.7355 191.5853 190.8614 0.00214337
4 20 1000 1 251.7316 197.2296 196.1937 2.87401e-05
4 20 1000 1 287.9855 196.5689 193.6084 7.793884e-05
4 20 1000 1 17040.16 14085.56 367.7263 7.474108e-09
4 20 1000 1 271.88 200.1143 197.1746 2.082356e-15
4 20 1000 1 2e+100 196.043 191.0554 0.0001165666
4 20 1000 1 684.5985 217.6738 191.1939 0.6019172
4 20 1000 1 314.6507 185.5559 184.5593 0.0002038825
4 20 1000 1 503.7569 196.6659 195.7286 0.858921
4 20 1000 1 3634.419 473.7444 261.518 1.027024e-10
4 20 1000 1 410.1997 189.1599 183.1143 0.008230177
4 20 1000 1 2529.883 373.3938 274.2466 0.1303867
4 20 1000 1 268.8345 187.3446 186.8349 0.5080049
4 20 1000 1 285.9452 211.8443 211.0182 5.805076e-07
4 20 1000 1 371.5018 198.1377 196.1002 7.455645e-05
4 20 1000 1 277.2842 206.5776 204.8179 1.327094e-05
4 20 1000 1 247.8372 188.4519 188.044 1.764446e-11
4 20 1000 1 284.627 188.1991 185.2745 0.008775749
4 20 1000 1 274.8663 186.3799 185.8894 3.487971e-06
4 20 1000 1 276.1101 185.6591 184.9953 4.59974e-06
4 20 1000 1 210.232 188.4549 186.8386 8.355598e-07
4 20 1000 1 377.8315 209.9243 208.5165 9.411474e-05
4 20 1000 1 390.3327 205.5698 203.2133 0.003291522
4 20 1000 1 377.1688 214.2438 211.9618 0.002164842
4 20 1000 1 246.288 195.6626 194.8515 0.0005740406
4 20 1000 1 358.8463 193.9833 192.6481 0.005095415
4 20 1000 1 498.8562 208.1604 206.4887 2.487054e-08
4 20 1000 1 333.5648 219.0762 212.517 6.618518e-05
4 20 1000 1 487.1927 216.3904 215.1582 1.931008e-09
4 20 1000 1 181.2985 190.6763 189.9645 1.52472e-06
4 20 1000 1 3650819 2e+100 488.3442 2.709191e-06
4 20 1000 1 241.0531 199.9576 198.4966 1.055933e-11
4 20 1000 1 305.7836 188.1636 187.2333 5.501185e-05
4 20 1000 1 259.9251 180.1424 179.7211 0.9999267
4 20 1000 1 225.3788 190.6498 189.3032 0.9430478
4 20 1000 1 197.7703 195.7259 195.5397 7.535525e-07
1 20 1000 5 46.47888 120.3471 123.0775 2.742848e-06
1 20 1000 5 45.42507 119.3289 121.7115 2.232103e-07
1 20 1000 5 48.33628 122.2267 125.2197 0.037295
1 20 1000 5 80.06743 150.5928 151.9394 4.308474e-07
1 20 1000 5 52.09849 125.9487 128.2823 8.223429e-07
1 20 1000 5 121.8697 193.1418 193.6739 5.578755e-08
1 20 1000 5 50.70966 124.5107 126.9011 1.177505e-12
1 20 1000 5 46.60524 120.5295 123.5861 0.0001461104
1 20 1000 5 47.95851 121.8758 124.3623 1.214412e-05
1 20 1000 5 49.53194 123.422 126.0819 3.060218e-05
1 20 1000 5 53.02894 126.8682 129.634 0.0003761813
1 20 1000 5 42.20599 116.1227 119.437 0.0001643255
1 20 1000 5 45.30518 119.2378 121.6858 3.091359e-10
1 20 1000 5 89.06045 159.4703 160.7061 1.344807e-06
1 20 1000 5 79.57151 152.1571 153.5726 0.6711238
1 20 1000 5 48.58686 122.4716 124.9883 1.231449e-07
1 20 1000 5 48.1986 122.1071 124.6582 0.0270027
1 20 1000 5 50.36552 124.2229 126.8072 0.0004860085
1 20 1000 5 50.43067 124.3185 126.702 0.0001319835
1 20 1000 5 47.59224 121.4718 124.3272 0.003262509
1 20 1000 5 71.14256 144.7817 147.0278 4.423479e-05
1 20 1000 5 49.52153 123.4148 125.9619 3.001583e-07
1 20 1000 5 45.21189 119.0896 121.9383 7.566088e-07
1 20 1000 5 52.22031 125.8941 128.1547 0.0002051625
1 20 1000 5 50.81721 124.6867 127.2849 0.003884689
1 20 1000 5 48.23399 122.0832 124.3208 0.003706583
1 20 1000 5 48.55759 122.4476 124.7494 3.093792e-06
1 20 1000 5 47.89245 121.7868 124.5055 9.292519e-07
1 20 1000 5 128.8696 196.9031 197.2923 1.069057e-09
1 20 1000 5 50.4233 124.3722 126.7578 0.8861677
1 20 1000 5 50.09889 124.0226 126.3358 0.0001753234
1 20 1000 5 49.04684 122.912 125.2038 0.007473975
1 20 1000 5 68.23508 141.7437 143.29 0.03219216
1 20 1000 5 52.30988 126.1869 128.434 0.0004620392
1 20 1000 5 51.34956 125.2326 127.7428 0.03168522
1 20 1000 5 52.89076 126.7698 129.1238 0.3369849
1 20 1000 5 45.80844 119.6902 122.5106 6.036923e-09
1 20 1000 5 52.78997 126.6222 129.1301 8.111227e-05
1 20 1000 5 51.57252 125.3288 127.6347 0.162067
1 20 1000 5 43.83237 117.7723 120.4796 0.07608715
1 20 1000 5 52.49075 126.2601 128.4079 0.003238716
1 20 1000 5 50.17774 124.0531 126.5801 0.0004802551
1 20 1000 5 48.54322 122.4201 124.8917 0.0001017126
1 20 1000 5 46.75718 120.653 123.0509 0.0003078118
1 20 1000 5 49.95036 123.792 126.6339 4.090192e-06
1 20 1000 5 45.65778 118.7094 121.1485 0.0004540127
